crashid,cartodbid,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,socrata_id,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
1,2698179,EAST 189 STREET,,2019-11-02 19:40:00+00,40.86006,-73.891136,Bronx,10458,4233825,0,0,1,0,0,0,1,0,"Unsafe Speed,Unspecified","Station Wagon/Sport Utility Vehicle,E-Bik"
2,2696344,BROOKVILLE BOULEVARD,,2019-11-01 10:05:00+00,,,,,4233325,0,0,1,0,0,0,1,0,"Following Too Closely,Reaction to Uninvolved Vehicle,Following Too Closely","Station Wagon/Sport Utility Vehicle,Box Truck,Pick-up Truck"
3,2696341,RICHMOND AVENUE,,2019-11-01 15:00:00+00,40.539898,-74.16103,Staten Island,,4233410,0,0,2,0,0,0,2,0,"Passing or Lane Usage Improper,Passing or Lane Usage Improper","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
4,2698183,LEFFERTS BOULEVARD,,2019-11-02 07:00:00+00,40.697327,-73.82961,Queens,,4234810,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Taxi
5,2701425,BRONX WHITESTONE BRIDGE,,2019-11-22 08:40:00+00,,,,,4247615,0,0,1,0,0,0,1,0,"Reaction to Uninvolved Vehicle,Following Too Closely","Taxi,Station Wagon/Sport Utility Vehicle"
6,2701510,WEST 118 STREET,,2019-11-22 16:50:00+00,40.80333,-73.94873,Manhattan,10026,4247344,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Sedan,Motorcycle"
7,2701502,,2678      OCEAN AVENUE,2019-11-22 15:49:00+00,40.59608,-73.9508,Brooklyn,11229,4247147,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Bus,Sedan"
8,2701514,PENNSYLVANIA AVENUE,,2019-11-22 00:58:00+00,40.655495,-73.88833,Brooklyn,11207,4245402,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Sedan,Pick-up Truck"
9,2701505,BROOKLYN QUEENS EXPRESSWAY,,2019-11-22 21:30:00+00,40.69993,-73.96188,Brooklyn,,4246881,0,0,1,0,0,0,1,0,"Unsafe Lane Changing,Unspecified","Sedan,Tractor Truck Diesel"
10,2701515,UNION STREET,,2019-11-22 21:00:00+00,40.76536,-73.82787,Queens,11354,4246072,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
11,2702378,7 AVENUE,,2019-11-21 15:17:00+00,,,,,4245503,1,0,0,0,0,0,1,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","Taxi,Bike"
12,2702383,LEXINGTON AVENUE,,2019-11-21 23:04:00+00,40.764107,-73.96682,Manhattan,10065,4245323,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Sedan
13,2702401,BUSHWICK AVENUE,,2019-11-21 00:00:00+00,40.681503,-73.904106,Brooklyn,,4247870,0,0,0,0,1,0,1,0,Unspecified,Sedan
14,2702414,NOSTRAND AVENUE,,2019-11-21 08:50:00+00,40.612724,-73.94418,Brooklyn,,4244904,0,0,1,0,0,0,1,0,"Turning Improperly,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
15,2702409,WEST 19 STREET,,2019-11-21 15:09:00+00,40.578823,-73.98628,Brooklyn,11224,4245355,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
16,2703002,CROSS BRONX EXPY,,2019-11-20 17:54:00+00,,,,,4244751,0,0,1,0,0,0,1,0,Unspecified,Sedan
17,2703012,,95        EAST DRIVE,2019-11-20 21:00:00+00,,,,,4245065,0,0,1,0,0,0,1,0,Unspecified,skate
18,2703007,MAPLE STREET,,2019-11-20 00:45:00+00,40.660202,-73.96063,Brooklyn,,4245814,0,0,3,0,0,0,3,0,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
19,2703009,MYRTLE AVENUE,,2019-11-20 18:25:00+00,40.697117,-73.93401,Brooklyn,,4246762,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Station Wagon/Sport Utility Vehicle,E-Sco"
20,2703228,BROOKLYN QUEENS EXPRESSWAY,,2019-11-19 02:17:00+00,,,,,4243633,0,0,1,0,0,0,1,0,"Steering Failure,Unspecified","Sedan,Pick-up Truck"
21,2703210,PARK AVENUE,,2019-11-19 18:22:00+00,40.696037,-73.968414,Brooklyn,,4246780,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
22,2703223,,423       AVENUE Y,2019-11-19 06:55:00+00,40.58838,-73.97033,Brooklyn,11223,4243664,0,0,1,0,0,0,1,0,"Unsafe Speed,Unspecified,Unspecified,Unspecified","Sedan,Sedan,Sedan,Sedan"
23,2703224,,2028      GERRITSEN AVENUE,2019-11-19 19:50:00+00,40.604527,-73.93816,Brooklyn,11229,4244160,0,0,1,0,0,0,1,0,"Drugs (illegal),Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
24,2703217,46 AVENUE,,2019-11-19 19:20:00+00,40.754704,-73.78166,Queens,11361,4243987,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
25,2703227,GREENWICH STREET,,2019-11-19 09:00:00+00,40.707966,-74.013596,Manhattan,10006,4244391,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified","Taxi,Taxi"
26,2703362,TOWNSEND AVENUE,,2019-11-19 18:13:00+00,40.84844,-73.91068,Bronx,10453,4244308,1,0,0,0,0,0,1,0,"Unspecified,Unspecified",Bike
27,2703839,MERRICK BOULEVARD,,2019-11-18 17:00:00+00,,,,,4243277,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Bus,Station Wagon/Sport Utility Vehicle"
28,2703851,NASSAU EXPRESSWAY,,2019-11-18 05:45:00+00,,,,,4242864,0,0,1,0,0,0,1,0,Pavement Slippery,Pick-up Truck
29,2703848,EAST 156 STREET,,2019-11-18 16:35:00+00,40.816303,-73.899956,Bronx,10455,4243680,0,0,0,0,1,0,1,0,Unspecified,Sedan
30,2703832,BEVERLEY ROAD,,2019-11-18 16:50:00+00,40.64305,-73.9764,Brooklyn,,4244760,1,0,0,0,0,0,1,0,"Unspecified,Unspecified","Bus,Bike"
31,2703833,155 STREET,,2019-11-18 15:40:00+00,40.690075,-73.79422,Queens,11433,4243285,0,0,2,0,0,0,2,0,"Fell Asleep,Unspecified","Sedan,Sedan"
32,2703834,STORY AVENUE,,2019-11-18 01:33:00+00,40.82463,-73.85566,Bronx,10473,4242801,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","Sedan,Sedan"
33,2703844,ROCKAWAY PARKWAY,,2019-11-18 19:27:00+00,40.632435,-73.88818,Brooklyn,11236,4248967,0,0,0,0,1,0,1,0,Unspecified,Sedan
34,2703835,BEACH 69 STREET,,2019-11-18 17:45:00+00,40.592728,-73.79813,Queens,11692,4243256,0,0,0,0,2,0,2,0,Driver Inattention/Distraction,Sedan
35,2703845,ASTORIA BOULEVARD,,2019-11-18 18:24:00+00,40.768887,-73.90691,Queens,11105,4243414,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Sedan
36,2703837,BRONX RIVER PARKWAY,,2019-11-18 08:54:00+00,40.87831,-73.870155,Bronx,10465,4243452,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified","Sedan,Sedan"
37,2703940,226 STREET,,2019-11-18 15:20:00+00,40.6952,-73.73402,Queens,11411,4243327,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","Sedan,Station Wagon/Sport Utility Vehicle"
38,2703934,OCEAN PARKWAY,,2019-11-18 17:20:00+00,40.629986,-73.97157,Brooklyn,11230,4243746,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
39,2703945,SLOSSON AVENUE,,2019-11-18 22:25:00+00,40.6101,-74.11668,Staten Island,10314,4243354,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
40,2703948,TROY AVENUE,,2019-11-18 23:00:00+00,40.669098,-73.93666,Brooklyn,,4245434,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","4 dr sedan,Sedan"
41,2704049,EASTCHESTER ROAD,,2019-11-18 19:00:00+00,,,,,4244130,0,0,0,0,1,0,1,0,Other Vehicular,Sedan
42,2704069,EAST 123 STREET,,2019-11-18 05:45:00+00,40.802395,-73.936775,Manhattan,,4246772,0,0,0,0,1,0,1,0,Traffic Control Disregarded,
43,2704052,,1722      SHEEPSHEAD BAY ROAD,2019-11-18 07:00:00+00,40.585575,-73.951675,Brooklyn,11235,4242926,1,0,0,0,0,0,1,0,"Following Too Closely,Unspecified","Bike,Station Wagon/Sport Utility Vehicle"
44,2704064,CENTRAL AVENUE,,2019-11-18 09:06:00+00,40.69644,-73.92228,Brooklyn,,4247273,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Bus,Station Wagon/Sport Utility Vehicle"
45,2704076,JACKIE ROBINSON PARKWAY,,2019-11-18 14:40:00+00,,,,,4243625,0,0,2,0,0,0,2,0,"Following Too Closely,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
46,2704078,PENNSYLVANIA AVENUE,,2019-11-18 08:05:00+00,40.674397,-73.896515,Brooklyn,,4244894,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Sedan,Carry All"
47,2704079,STONE AVENUE,,2019-11-18 19:47:00+00,40.667706,-73.90636,Brooklyn,11212,4243912,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
48,2704080,EAST 22 STREET,,2019-11-18 00:00:00+00,40.595085,-73.9486,Brooklyn,11229,4243189,0,0,0,0,1,0,1,0,Unspecified,Station Wagon/Sport Utility Vehicle
49,2704077,156 STREET,,2019-11-18 12:45:00+00,40.66671,-73.78039,Queens,11434,4243235,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
50,2704122,JAMAICA AVENUE,,2019-11-18 06:52:00+00,40.69366,-73.85217,Queens,11421,4243401,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
51,2704142,HOWARD AVENUE,,2019-11-18 18:40:00+00,40.668377,-73.92012,Brooklyn,,4243940,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Sedan
52,2704133,KENT AVENUE,,2019-11-18 11:00:00+00,40.71807,-73.96414,Brooklyn,,4243628,1,0,0,0,0,0,1,0,"Brakes Defective,Unspecified","Sedan,Bike"
53,2704134,,1810      SOUTHERN BOULEVARD,2019-11-18 21:30:00+00,40.838303,-73.887184,Bronx,10460,4243419,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","Station Wagon/Sport Utility Vehicle,Sedan"
54,2704187,VERRAZANO BRIDGE LOWER,,2019-11-18 07:06:00+00,,,,,4243800,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified","Sedan,Sedan"
55,2704189,LEXINGTON AVENUE,,2019-11-18 00:45:00+00,40.751442,-73.97606,Manhattan,10168,4242559,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","Taxi,Station Wagon/Sport Utility Vehicle"
56,2704180,BROADWAY,,2019-11-18 01:58:00+00,40.687355,-73.9183,Brooklyn,,4242943,0,0,0,0,1,0,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Station Wagon/Sport Utility Vehicle
57,2704174,,962       GATES AVENUE,2019-11-18 07:58:00+00,40.689106,-73.92539,Brooklyn,11221,4242946,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
58,2704177,BROOKLYN QUEENS EXPRESSWAY,,2019-11-18 09:40:00+00,40.736652,-73.9079,Queens,,4243812,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
59,2704462,VERRAZANO BRIDGE UPPER,,2019-11-17 15:05:00+00,,,,,4243265,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified","Sedan,Sedan"
60,2704642,BELT PARKWAY,,2019-11-17 02:50:00+00,40.666348,-73.76093,Queens,,4242168,0,0,1,0,0,0,1,0,"Unsafe Speed,Unspecified",Sedan
61,2705393,,371       VANDERVORT AVENUE,2019-11-15 14:40:00+00,,,,11211,4242923,0,0,3,0,0,0,3,0,"Failure to Yield Right-of-Way,Unspecified","Sedan,Sedan"
62,2705400,FILLMORE AVENUE,,2019-11-15 09:30:00+00,40.612785,-73.93101,Brooklyn,11234,4242662,0,0,2,0,0,0,2,0,"Failure to Yield Right-of-Way,Unspecified","Sedan,Sedan"
63,2705383,EDENWALD AVENUE,,2019-11-15 00:00:00+00,40.892128,-73.84719,Bronx,10466,4242893,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Sedan,Sedan"
64,2705385,,2070      FLATBUSH AVENUE,2019-11-15 09:49:00+00,40.61934,-73.933304,Brooklyn,11234,4241392,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified","Sedan,Sedan"
65,2705387,,220       RANDOLPH STREET,2019-11-15 11:52:00+00,40.709984,-73.9243,Brooklyn,11237,4246875,0,0,0,0,1,0,1,0,"Driver Inattention/Distraction,Other Vehicular","Station Wagon/Sport Utility Vehicle,Box Truck"
66,2705901,BRONX WHITESTONE BRIDGE,,2019-11-15 05:35:00+00,,,,,4241772,0,0,3,0,0,0,3,0,"Illnes,Unspecified,Unspecified,Unspecified","Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan"
67,2705889,,2233      OCEAN AVENUE,2019-11-15 23:20:00+00,40.607327,-73.9529,Brooklyn,11229,4242523,0,0,1,0,0,0,1,0,"Unspecified,Unspecified,Unspecified,Unspecified","Sedan,Sedan,Sedan,Sedan"
68,2705900,EAST 169 STREET,,2019-11-15 15:10:00+00,40.831196,-73.90026,Bronx,,4241776,0,0,0,0,1,0,1,0,Unspecified,Station Wagon/Sport Utility Vehicle
69,2706344,,4315      FARRAGUT ROAD,2019-11-14 18:00:00+00,40.63706,-73.93537,Brooklyn,11203,4241672,0,0,0,0,1,0,1,0,,
70,2706348,9 AVENUE,,2019-11-14 00:00:00+00,40.745823,-74.001816,Manhattan,10011,4242505,1,0,0,0,0,0,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Bike
71,2706349,ASCAN AVENUE,,2019-11-14 23:05:00+00,40.71958,-73.83978,Queens,11375,4241155,0,0,0,0,1,0,1,0,Aggressive Driving/Road Rage,Sedan
72,2706353,WALTON AVENUE,,2019-11-14 13:27:00+00,40.85537,-73.90473,Bronx,10453,4241119,0,0,0,0,1,0,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Taxi
73,2706650,MOORE STREET,,2019-11-13 10:03:00+00,40.702755,-74.01235,Manhattan,10004,4241450,0,0,0,0,1,0,1,0,Unspecified,Sedan
74,2706652,BROADWAY,,2019-11-13 14:25:00+00,40.69324,-73.92865,Brooklyn,,4240455,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Sedan
75,2706662,UNION TURNPIKE,,2019-11-13 11:45:00+00,40.748314,-73.70955,Queens,11004,4240383,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
76,2706653,NEPTUNE AVENUE,,2019-11-13 00:00:00+00,40.58196,-73.959946,Brooklyn,11235,4241261,0,0,1,0,0,0,1,0,"Other Vehicular,Backing Unsafely","Taxi,Pick-up Truck"
77,2706665,42 STREET,,2019-11-13 19:34:00+00,40.644264,-73.99685,Brooklyn,11232,4241310,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
78,2706690,JEWEL AVENUE,,2019-11-13 15:36:00+00,,,,11367,4240761,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
79,2706679,CROSS ISLAND PARKWAY,,2019-11-13 08:15:00+00,40.762093,-73.75691,Queens,,4240335,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
80,2706683,FOREST AVENUE,,2019-11-13 13:30:00+00,40.712902,-73.90608,Queens,11385,4241275,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Sedan
81,2706676,CROSS ISLAND PARKWAY,,2019-11-13 16:00:00+00,40.752464,-73.74344,Queens,,4240502,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
82,2707013,PHILIP AVENUE,,2019-11-13 15:11:00+00,40.827866,-73.823586,Bronx,10465,4241334,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Box Truck,Sedan"
83,2707007,LONG ISLAND EXPRESSWAY,,2019-11-13 09:00:00+00,40.73846,-73.80461,Queens,,4240338,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified","Box Truck,Station Wagon/Sport Utility Vehicle"
84,2707047,THIRD AVENUE,,2019-11-13 14:45:00+00,,,,10454,4240572,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
85,2707048,PARK AVENUE SOUTH,,2019-11-13 15:09:00+00,40.742706,-73.984535,Manhattan,10016,4240709,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Taxi
86,2707044,,969       FULTON STREET,2019-11-13 17:50:00+00,40.68293,-73.964226,Brooklyn,11238,4240553,0,0,0,0,1,0,1,0,Unspecified,Sedan
87,2707045,BRUCKNER BOULEVARD,,2019-11-13 11:30:00+00,40.813175,-73.89845,Bronx,10455,4240398,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Van,Van"
88,2707183,METROPOLITAN AVENUE,,2019-11-12 16:00:00+00,40.712204,-73.88638,Queens,11379,4240215,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan"
89,2707186,SAINT NICHOLAS AVENUE,,2019-11-12 21:53:00+00,40.701046,-73.91068,Brooklyn,11385,4240036,0,0,3,0,0,0,3,0,"Driver Inattention/Distraction,Unspecified","Sedan,Sedan"
90,2707196,134 STREET,,2019-11-12 08:00:00+00,40.666893,-73.80546,Queens,11420,4239821,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","Sedan,Sedan"
91,2707188,ALBANY AVENUE,,2019-11-12 13:06:00+00,40.654797,-73.93943,Brooklyn,11203,4239809,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","PK,Sedan"
92,2707199,VERNON BOULEVARD,,2019-11-12 07:25:00+00,40.74411,-73.95364,Queens,11101,4241553,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Sedan
93,2707222,EAST GUN HILL ROAD,,2019-11-12 17:00:00+00,,,,10467,4247899,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,
94,2707219,,300       MC DONALD AVENUE,2019-11-12 08:45:00+00,40.646645,-73.98019,Brooklyn,11218,4240677,0,0,1,0,0,0,1,0,"Unspecified,Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan,Sedan"
95,2707213,WEST 140 STREET,,2019-11-12 07:55:00+00,40.821484,-73.94855,Manhattan,,4239637,0,0,1,0,0,0,1,0,Unspecified,Station Wagon/Sport Utility Vehicle
96,2707223,,80-34     WINCHESTER BOULEVARD,2019-11-12 18:30:00+00,40.73783,-73.734024,Queens,11427,4240033,0,0,2,0,0,0,2,0,"Following Too Closely,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
97,2707215,86 STREET,,2019-11-12 13:50:00+00,40.592186,-73.9777,Brooklyn,11223,4240322,1,0,0,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Sedan,Bike"
98,2707216,SAINT ANNS AVENUE,,2019-11-12 11:00:00+00,40.816044,-73.91195,Bronx,10455,4239869,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Passing Too Closely","Station Wagon/Sport Utility Vehicle,Box Truck"
99,2707226,FOREST AVENUE,,2019-11-12 19:10:00+00,40.626358,-74.13231,Staten Island,,4239857,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
100,2707207,115 ROAD,,2019-11-12 13:36:00+00,40.696617,-73.73227,Queens,11411,4240022,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Pick-up Truck,Station Wagon/Sport Utility Vehicle"
101,2707218,31 STREET,,2019-11-12 22:38:00+00,40.758125,-73.928505,Queens,,4240151,0,0,1,0,0,0,1,0,"Traffic Control Disregarded,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
102,2707550,WOODHAVEN BOULEVARD,,2019-11-12 17:04:00+00,40.69546,-73.85271,Queens,11421,4239955,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
103,2707542,FLATLANDS AVENUE,,2019-11-12 06:00:00+00,40.650024,-73.89126,Brooklyn,11207,4242965,0,0,1,0,0,0,1,0,"Unsafe Lane Changing,Unspecified","Sedan,Bus"
104,2707557,3 AVENUE,,2019-11-12 10:20:00+00,40.75895,-73.96849,Manhattan,,4239745,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","Box Truck,4 dr sedan"
105,2707658,BRUCKNER BOULEVARD,,2019-11-12 21:59:00+00,40.820305,-73.89083,Bronx,10459,4240395,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","DELV,Sedan"
106,2707660,,1170      BRONX RIVER AVENUE,2019-11-12 13:15:00+00,40.82744,-73.883255,Bronx,10472,4241520,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,E-Sco"
107,2707665,,2713      CHURCH AVENUE,2019-11-12 11:00:00+00,40.650696,-73.95201,Brooklyn,11226,4239812,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Pick-up Truck"
108,2707675,BEACH CHANNEL DRIVE,,2019-11-12 16:13:00+00,40.59527,-73.781845,Queens,11691,4246172,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Following Too Closely","Sedan,Station Wagon/Sport Utility Vehicle"
109,2707676,122 STREET,,2019-11-12 10:25:00+00,40.687225,-73.821625,Queens,11419,4240069,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Van
110,2707779,BROOKLYN QUEENS EXPRESSWAY,,2019-11-11 10:30:00+00,40.696663,-73.98085,Brooklyn,,4239169,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
111,2707789,,30-12     BROADWAY,2019-11-11 16:46:00+00,40.762287,-73.92608,Queens,11106,4239529,1,0,0,0,0,0,1,0,"Passenger Distraction,Driver Inattention/Distraction","Station Wagon/Sport Utility Vehicle,Bike"
112,2707781,WOODHAVEN BOULEVARD,,2019-11-11 17:50:00+00,40.700592,-73.85457,Queens,,4239382,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Station Wagon/Sport Utility Vehicle,Bus"
113,2707783,HILLSIDE AVENUE,,2019-11-11 08:56:00+00,40.70139,-73.83153,Queens,11418,4239103,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Sedan
114,2707776,UNIVERSITY AVENUE,,2019-11-11 20:30:00+00,40.844234,-73.92363,Bronx,,4239846,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Taxi
115,2707788,MYRTLE AVENUE,,2019-11-11 07:07:00+00,40.69764,-73.92932,Brooklyn,,4239502,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
116,2708815,,2050      BARTOW AVENUE,2019-11-09 16:30:00+00,40.86928,-73.828514,Bronx,10475,4242698,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Sedan
117,2708816,JUNCTION BOULEVARD,,2019-11-09 19:00:00+00,40.755028,-73.872696,Queens,11372,4243086,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,E-Sco"
118,2708832,EAST 88 STREET,,2019-11-09 19:58:00+00,40.648567,-73.91781,Brooklyn,11236,4238434,0,0,2,0,0,0,2,0,"Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular","Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,Sedan"
119,2709222,BROOKLYN QUEENS EXPRESSWAY,,2019-11-08 17:40:00+00,40.702614,-73.96058,Brooklyn,,4238923,0,0,2,0,0,0,2,0,"Unspecified,Unspecified","Sedan,Pick-up Truck"
120,2709226,,381       PENNSYLVANIA AVENUE,2019-11-08 15:40:00+00,40.668213,-73.89493,Brooklyn,11207,4238452,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Unspecified","Taxi,Station Wagon/Sport Utility Vehicle"
121,2709606,MANOR ROAD,,2019-11-08 02:26:00+00,,,,,4237261,0,0,2,0,0,0,2,0,Fell Asleep,Pick-up Truck
122,2709600,,1729      EAST 172 STREET,2019-11-08 15:20:00+00,40.832485,-73.86994,Bronx,10472,4238790,0,0,0,0,1,0,1,0,,
123,2709846,TRIBOROUGH BRIDGE,,2019-11-07 18:20:00+00,,,,,4241045,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
124,2711912,,4295      Arthurkill road,2019-11-04 19:10:00+00,,,,,4235727,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Station Wagon/Sport Utility Vehicle,Motorcycle"
125,2711940,,421       47 STREET,2019-11-04 09:45:00+00,40.647755,-74.01016,Brooklyn,11220,4235398,0,0,0,0,1,0,1,0,Unspecified,Sedan
126,2711955,37 STREET,,2019-11-04 01:30:00+00,40.64412,-73.98907,Brooklyn,11218,4236042,0,0,1,0,0,0,1,0,Unspecified,Sedan
127,2711957,BELT PARKWAY,,2019-11-04 19:15:00+00,40.637363,-73.87927,Brooklyn,,4237508,0,0,3,0,0,0,3,0,"Following Too Closely,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
128,2711958,NORTH 10 STREET,,2019-11-04 22:30:00+00,40.71949,-73.95595,Brooklyn,11211,4235583,0,0,1,0,0,0,1,0,"Reaction to Uninvolved Vehicle,Unspecified","Station Wagon/Sport Utility Vehicle,Pick-up Truck"
129,2711985,G.C.P. / LAGUARDIA (CDR),,2019-11-04 11:30:00+00,,,,,4235320,0,0,1,0,0,0,1,0,Eating or Drinking,Sedan
130,2711989,,113-25    BEACH CHANNEL DRIVE,2019-11-04 08:30:00+00,40.58254,-73.83575,Queens,11694,4235307,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","Sedan,Sedan"
